Filename,Category,Reference,SHA 1,MD5,Hash (SHA256)
RCSDB-7.3.0.exe,CD,remote control system db,bcb604b382a4e82827aec23246609c1314e993eb,98ef32a6462b3ba8cabb372f5aa95cff,3ffcd563ca6222ff5e88928a363e38d482302de57b04c36dd710a4bd1c5d430e
RCSDB-bare-7.6.0.exe,A,https://www.virustotal.com/en/file/f2f6dfc7fc3ff1170a80d661c1dbc18dbdfa456c1327ac475a7b21a38ec014be/analysis/,ee52c9416e9da9a1f67785bada3c9f4dae89d1e3,4bd8de4ce17067db858d63997315aee3,f2f6dfc7fc3ff1170a80d661c1dbc18dbdfa456c1327ac475a7b21a38ec014be
RCSDB-update-7.3.1.exe,A,https://www.virustotal.com/en/file/1b72081c4422785d8c6c016b10bdd7545e5fc6f1ff73277b0366e9b40e624616/analysis/,fd9516d2c5493009009eedc0e98e345956516d1d,983ea03599f2371d3aa4b561fbdb9d35,1b72081c4422785d8c6c016b10bdd7545e5fc6f1ff73277b0366e9b40e624616
RCSDB-update-unofficial.exe,A,https://www.virustotal.com/en/file/fff8c7da09ace612e203a7d91b24e56a9e1715d5bfe6a7a4466adff284009a1e/analysis/,90342657a424fcffa836dfa5136eb362f49fdfb6,19e932c289b936f407cd93dc4162eec4,fff8c7da09ace612e203a7d91b24e56a9e1715d5bfe6a7a4466adff284009a1e
rcs-exploits-2014093001.exe,A,https://www.virustotal.com/en/file/42dc1f9417fb067c3b96622ccf6e8c80c9d07202cc28f3c4d460d5bdc6ff249f/analysis/,d228b700a6f4542a63337ab0899bd7e90982c30e,5527d16136944bc3795bc65bcbbe65f3,42dc1f9417fb067c3b96622ccf6e8c80c9d07202cc28f3c4d460d5bdc6ff249f
rcs-exploits-2014120801.exe,A,https://www.virustotal.com/en/file/7927f3a35d87250253d8abc021d44cc496d2185f376f0d33b0365a68ba81e636/analysis/,5004f0d0410666e923212e941f646777b91958b0,f855633c69c3095b20a99bd12d023271,7927f3a35d87250253d8abc021d44cc496d2185f376f0d33b0365a68ba81e636
rcs-exploits-2015032101.exe,A,https://www.virustotal.com/en/file/5ec8cd3180a2576b92d53085ff5e3dcf4e3dccaf2154b59879969ef8011fd1c2/analysis/,4edb69adbc1ebc884aa65cd42e1187f9223de3d3,27f45f64f69d31839a6ec82185b5e030,5ec8cd3180a2576b92d53085ff5e3dcf4e3dccaf2154b59879969ef8011fd1c2
rcs-hotfix-9.4.0_2.exe,A,https://www.virustotal.com/en/file/4f9f7f9b2a3ee884f4aa08c066a458a52f175a78b7748ef4a751543213b92d29/analysis/,33aa87925aaafa5c97df0c4334b3e70b5ce43552,0bb14e2cbce99ac845c62bea9c5d62ba,4f9f7f9b2a3ee884f4aa08c066a458a52f175a78b7748ef4a751543213b92d29
rcs-hotfix-9.4.0.exe,A,https://www.virustotal.com/en/file/598bab73e4e2e9a09da64a16c807fea62bac20ec206384194478fcaf9eac1b14/analysis/,edc03b57e86aab5f869533ce2487f6918e26d5fe,c170a9961560e4c96215a06f75985fc8,598bab73e4e2e9a09da64a16c807fea62bac20ec206384194478fcaf9eac1b14
RCSIphonePolymer.exe,CD,https://www.virustotal.com/en/file/9a68ae8f678636414d04cef6aaeea76b31f06870a039474e24ce0d299cfe7ff9/analysis/,7320dfe9ba71a56866ada74eb22ba20afa15a552,37c3f6ae3f1ccee442cfefdb93a0abe2,9a68ae8f678636414d04cef6aaeea76b31f06870a039474e24ce0d299cfe7ff9
